first_schema;e1;e2;score
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_sweet;http://data.odeuropa.eu/vocabulary/historical-scent/sweet;1.0
edwards;http://data.odeuropa.eu/vocabulary/edwards/citrus;http://data.odeuropa.eu/vocabulary/drom/citrus;0.9999999999999998
edwards;http://data.odeuropa.eu/vocabulary/edwards/soft_floral;http://data.odeuropa.eu/vocabulary/drom/floral;0.9999999999999996
edwards;http://data.odeuropa.eu/vocabulary/edwards/fruity;http://data.odeuropa.eu/vocabulary/drom/fruity;0.9999999999999998
edwards;http://data.odeuropa.eu/vocabulary/edwards/green;http://data.odeuropa.eu/vocabulary/drom/green;0.9999999999999998
edwards;http://data.odeuropa.eu/vocabulary/edwards/woody;http://data.odeuropa.eu/vocabulary/drom/woody;0.9999999999999998
historic-book;http://data.odeuropa.eu/vocabulary/historic-book/citrus;http://data.odeuropa.eu/vocabulary/drom/citrus;1.0
historic-book;http://data.odeuropa.eu/vocabulary/historic-book/green;http://data.odeuropa.eu/vocabulary/drom/green;1.0
historic-book;http://data.odeuropa.eu/vocabulary/historic-book/vanilla;http://data.odeuropa.eu/vocabulary/drom/vanilla_absolute;0.7074572043116136
dhsv-sw;http://data.odeuropa.eu/vocabulary/dhsv-sw/bergamot;http://data.odeuropa.eu/vocabulary/drom/bergamot_oil;0.8434558550786918
dhsv-sw;http://data.odeuropa.eu/vocabulary/dhsv-sw/floraal;http://data.odeuropa.eu/vocabulary/drom/floral;0.7630521628192929
dhsv-sw;http://data.odeuropa.eu/vocabulary/dhsv-sw/civets;http://data.odeuropa.eu/vocabulary/historical-scent/animalistic_civet;0.8304581135692028
dhsv-sw;http://data.odeuropa.eu/vocabulary/dhsv-sw/snuffen;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_snuff;0.7093568180896874
dhsv-sw;http://data.odeuropa.eu/vocabulary/dhsv-sw/floraal;http://data.odeuropa.eu/vocabulary/historical-scent/floral;0.8546784090448438
